idx1,idx2,EMED,FGTED,Group,(EMED - FGTED),sum Diameter,corrected
30,39,140.7,100.06898,3.0,40.63101999999999,174.25,133.61065088857498
31,32,139.68,116.61647,3.0,23.06353,128.53,136.50597853042478
31,33,148.25,122.68022,3.0,25.569779999999994,126.62,141.99939541353797
31,34,109.43,76.608401,3.0,32.821599000000006,138.59,99.50186301517962
31,35,100.94,78.631611,3.0,22.30838899999999,155.78,106.6580710671613
31,36,122.22,90.655266,3.0,31.564734,163.56,121.00486305636532
31,37,110.55,76.68814,3.0,33.86185999999999,162.67,106.77197974011962
31,38,124.59,88.97793,3.0,35.61207,174.56,122.61216804367182
31,39,111.68,79.46795900000001,3.0,32.212041,171.22,112.10486059843514
32,33,107.1,86.23849799999999,3.0,20.861502,146.99,111.64023131457729
32,34,137.04,98.83007400000001,3.0,38.20992599999998,158.96,127.80609391621901
32,35,126.71,87.69972100000001,3.0,39.01027899999998,176.15,121.80873896820067
32,36,93.49,65.10091800000001,3.0,28.389081999999988,183.93,101.53307295740471
32,37,125.41,86.338631,3.0,39.07136899999999,183.04,122.505028641159
32,38,135.22,83.971577,3.0,51.248423,194.93,123.68837294471119
32,39,128.32,81.447185,3.0,46.87281499999999,191.59,120.16664449947449
33,34,152.75,107.74967000000001,3.0,45.00032999999999,157.05,136.15535679933214
33,35,146.58,97.896501,3.0,48.68349900000001,174.24,131.4351858513138
33,36,119.36,85.85529000000001,3.0,33.50470999999999,182.02,121.71711184051786
33,37,126.38,83.869844,3.0,42.510155999999995,181.13,119.46590852427214
33,38,137.07,87.152332,3.0,49.91766799999999,193.02,126.29879482782432
33,39,133.67,88.457659,3.0,45.21234099999998,189.68,126.60678538258763
34,35,103.48,60.529768000000004,3.0,42.950232,186.21,97.6427394529555
34,36,120.81,70.773171,3.0,50.036829,193.99,110.20927944215954
34,37,95.33,55.377154,3.0,39.952846,193.1,94.54750512591382
34,38,126.89,72.627552,3.0,54.262448000000006,204.99,115.34830142946602
34,39,106.23,57.044285,3.0,49.185715,201.65,98.76769798422932
